"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.350689419633","32.6833400138976","33.1001767168934","33.4904648631172","33.9911825627212","34.4706077294939","34.9226555311909","35.5010280088439","35.9153538957542","36.4352159004269","36.8226866581399","37.2525699716966","37.6359870541798","37.9693207157253","38.3402323917027","38.7419883088306","39.0526261587652","39.3210681580011","39.6495335646424","39.968298603979","40.3546282135781","40.723805178702","41.0263505120549","41.2899741600631","","",
"Afghanistan","AFG","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8","33.4","37.7","42.3","46.4","50.9","55.2","59.2","63","66.4","69","71.9","74.3","76","77.7","79.4","80.6","81.9","82.95","83.9","84.9","85.4","86.3","87","","",
"Africa Western and Central","AFW","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6138399434641","10.9286357190283","11.2607653260746","11.5958585514597","11.886312845189","12.1739029449221","12.563497420683","12.9361494375958","13.3429146416954","13.8162108940561","14.4722539574516","15.1372381272355","16.0244382991745","17.1496821127896","18.5932525476787","20.4492294433666","22.8124189478813","25.8645013246711","29.4772943164436","33.3931667913934","37.1269607516763","40.5565503881124","43.2484579779079","45.2063788459117","","",
"Angola","AGO","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.65","80.1","79.7","79.2","79","78.6","78.3","78.2","77.9","77.9","77.8","77.7","77.6","77.6","77.5","77.5","77.4","77.2","77","76.6","76.4","75.7","75.4","75","","",
"Albania","ALB","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5","66.3","69.5","71.8","74.6","76.9","79.5","81.3","83.2","84.9","86.2","87.5","88.7","89.7","90.5","91.3","91.9","92.5","93.1","93.5","94.2","94.4","94.8","95.2","","",
"Andorra","AND","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.0627187278234","88.0137648242737","88.9025242603311","89.7505290568381","90.4956406053114","91.1466132800572","91.7538065846284","92.3194529897439","92.7574752056695","93.1138491027506","93.3500447529326","93.7001119513031","93.9690461538974","94.1655478050015","94.2565570309377","94.2725247977068","94.2250472636707","94.1591559288724","94.0111058967936","94.0028606397305","93.9564735064566","93.8756972283405","93.8701288881829","93.8575008268403","","",
"United Arab Emirates","ARE","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3","98.6","98.7","98.9","99.1","99.2","99.4","99.5","99.6","99.7","99.7","99.7","99.8","99.8","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","","",
