"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4947042784065","11.8410550659279","12.2025228093517","12.5733800013055","12.9586900678548","13.3711420200627","13.7827140589691","14.2541776273004","14.7365857921904","15.1715571055641","15.6201734437212","16.1231984574132","16.5997340024117","17.0610493136785","17.6341502067647","18.1458333903852","18.6851183805539","19.2056324304616","19.7427723256188","20.3326789734798","20.8628000665566","21.4196207400075","21.9964562319101","22.5414402127635","","",
"Afghanistan","AFG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","7.1","8.3","9.35","10.8","12.1","13.6","15.3","16.7","18.3","19.8","21.3","22.9","24.4","25.8","27.5","28.9","30.15","31.7","33.3","34.6","35.9","37.1","38.6","","",
"Africa Western and Central","AFW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7619834055432","4.94420774454716","5.13046451387772","5.33589758163863","5.53526886594561","5.71052225934465","5.91580210003368","6.15038782667752","6.43123005576525","6.720296438535","7.07508068473374","7.44953029220942","7.95470756255725","8.53206596157449","9.23632232818544","10.2293177427588","11.3670393876637","12.7875838072298","14.4886617182289","16.4039349690026","18.3176434655596","20.1306504282424","21.777317719367","23.0651743187298","","",
"Angola","AGO","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3","41","41.4","41.7","42.1","42.8","43.2","43.35","43.9","44.1","44.7","44.9","45.6","46.1","46.8","47","48","48.2","48.8","49.2","49.4","49.8","50","50.2","","",
"Albania","ALB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6","39.3","42.3","45.4","48.6","51.2","54.4","57.8","60.6","63.2","65.9","68.6","70.8","72.8","74.7","76.5","78","79.7","80.9","82.1","83.4","84.5","85.4","86.1","","",
"Andorra","AND","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1696240435956","75.1428628342592","76.8306001761092","78.3074247454028","79.6911920750499","80.7034328218588","81.7111827056212","82.5885477659631","83.2770801582467","83.8921733507662","84.3023081007578","84.9244031500054","85.4363986856634","85.7756561671883","86.1069557322926","86.3040919190781","86.4793431723936","86.6379522000933","86.6601694019868","86.744828031453","86.7608769963874","86.6893216166095","86.763430122317","86.8229669353075","","",
"United Arab Emirates","ARE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.8","96.3","96.9","97.2","97.6","98","98.3","98.6","98.8","99.05","99.2","99.4","99.5","99.6","99.7","99.8","99.8","99.8","99.9","99.9","99.9","99.9","99.9","99.9","","",
