"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54816679365792","3.70402430207677","3.89004253975859","4.09171996348557","4.27424866008408","4.53252066572879","4.75749014037619","5.00403466229121","5.24892410091475","5.49974660596306","5.7478509340004","6.02819644522204","6.309217696746","6.64362531770266","6.93231030571847","7.25993600766452","7.60671205685514","7.92660444602513","8.30989563249925","8.70459078973667","9.10663954742505","9.48080389859195","9.90320896184754","10.2881538975179","","",
"Afghanistan","AFG","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1.2","1.5","1.75","2.1","2.6","3.1","3.7","4.4","5.1","5.9","6.9","7.8","8.8","9.9","11.1","12.3","13.4","14.5","15.7","16.8","18","19.2","20.4","","",
"Africa Western and Central","AFW","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.950679755165478","0.976268882998557","1.02065757166938","1.04638513115791","1.12623575542639","1.15158864335272","1.21901803851552","1.24297199506895","1.30327980786754","1.37190369487168","1.43693213712148","1.52531436183593","1.65816340730411","1.8257283947432","2.05294338102046","2.26694880208113","2.57647731385899","2.93251610837009","3.33566939899527","3.85019758556093","4.41160052417747","4.94508315466629","5.50534251829554","6.00414421977276","","",
"Angola","AGO","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","7.2","7.2","7.2","7.3","7.3","7.3","7.3","7.2","7.3","7.3","7.3","7.4","7.5","7.6","7.7","7.7","7.9","7.8","8","8.1","8.2","8.3","8.4","","",
"Albania","ALB","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1","19.2","21.1","24.1","26.5","29.2","32.3","35.4","38.6","41.65","44.2","47.2","50.1","52.5","55.1","57.3","59.7","61.7","63.4","65.7","67.4","69.1","70.85","72.5","","",
"Andorra","AND","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Arab World","ARB","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.3167152142233","62.0185179228091","64.5116450541514","66.5076990260156","68.2416769131679","69.6582401863632","70.9102111866487","71.8866084088807","72.7275625102505","73.3996200659222","73.9827287943025","74.6192117608698","75.0558589390102","75.2888502608784","75.6231434227419","75.9614605383499","76.3526891508491","76.6875884235784","76.9650554219647","77.2126496041354","77.4043413584692","77.5353923943509","77.6731757586235","77.8396252277002","","",
"United Arab Emirates","ARE","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Argentina","ARG","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.6","80.1","82.2","84.3","86.2","87.7","89.1","90.6","92","92.8","93.8","94.4","95.3","95.7","96.3","96.5","96.9","97.3","97.5","97.8","97.8","98.1","98.2","98.2","","",
"Armenia","ARM","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.5","61","66.5","71.2","75.5","79.4","82.5","85.2","87.6","89.2","90.6","91.8","92.9","93.6","94.2","94.9","95.3","95.6","96","96.35","96.7","97","97.2","97.35","","",
"American Samoa","ASM","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Australia","AUS","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Austria","AUT","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Azerbaijan","AZE","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6","48.9","54.9","61","66.3","71","75.15","78.8","81.8","84.5","86.9","88.7","90.3","91.7","92.9","93.8","94.7","95.3","95.9","96.4","96.8","97.2","97.5","97.8","","",
"Burundi","BDI","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","",
"Belgium","BEL","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Benin","BEN","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.3","0.3","0.4","0.5","0.6","0.7","0.8","0.9","0.9","1","1.1","1.2","1.3","1.3","1.4","1.5","1.6","1.7","1.8","1.9","2","2.1","","",
"Burkina Faso","BFA","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.6","0.7","0.7","0.8","0.8","0.9","1","1","1.1","1.2","1.2","1.3","1.4","1.6","1.7","1.8","2","2.1","2.3","2.6","2.9","3.2","3.5","","",
"Bangladesh","BGD","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.8","0.9","1","1.2","1.3","1.5","1.7","1.9","2.1","2.4","2.8","3.2","3.6","4.1","4.7","5.3","6","6.7","7.4","8.1","9","9.9","10.8","","",
"Bulgaria","BGR","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bahamas, The","BHS","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bosnia and Herzegovina","BIH","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","31.9","30.4","29.15","27.8","26.4","25.5","23.9","22.8","21.7","20.7","19.8","18.6","18","17.1","16.2","15.5","14.7","14.3","13.5","13.4","12.2","11.5","10.95","","",
"Belarus","BLR","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.4","85.3","87.4","89","90.2","91.7","93","93.9","94.9","95.6","96.2","96.8","97.2","97.7","98","98.2","98.6","98.7","98.9","99","99.1","99.3","99.3","99.4","","",
"Belize","BLZ","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","68.5","69.6","70.4","71.4","71.8","72.3","72.8","72.7","72.8","73","73.2","73.3","73.3","73.6","73.8","74","74.1","74.1","74.1","74.3","74.4","74.4","74.1","","",
"Bermuda","BMU","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4","19.1","20.2","21.5","23.4","25.6","28","30.9","33.6","36.4","39.2","41.7","44.1","46","48.3","50.4","52.7","55","57.6","60.5","63","65.9","68.7","71.2","","",
"Brazil","BRA","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.4","56.55","58","59.3","60.8","62","63.6","65.2","66.7","68","69.8","71.3","72.7","74","75.2","76.5","77.8","78.8","79.7","80.5","81.2","82.2","82.75","83.4","","",
"Barbados","BRB","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Brunei Darussalam","BRN","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Bhutan","BTN","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","11.9","15","18.8","22.9","27.1","31.7","36.3","41.1","45.45","49.9","54.3","58.3","62.1","66","69.2","72.4","75.1","77.5","80.1","81.9","84.1","85.8","87.5","","",
"Botswana","BWA","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","21.3","22.7","24.3","25.3","26.3","26.6","27.3","27.9","27.9","28.3","28.5","28.3","28.1","28","27.75","27.6","27.4","27.2","27.1","26.7","26.7","26.6","26.4","","",
"Central African Republic","CAF","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Canada","CAN","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Central Europe and the Baltics","CEB","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Switzerland","CHE","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Channel Islands","CHI","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"China","CHN","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9","21.2","21.9","22.5","23.5","24.5","25.7","27","29","31","33.6","36.4","39.4","42.9","46.8","50.5","54.6","58.3","61.8","65.6","68.7","72","74.9","77.4","","",
"Cote d'Ivoire","CIV","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","1.4","1.4","1.4","1.5","1.5","1.5","1.6","1.7","1.8","1.8","2.1","2.2","2.5","2.7","3","3.3","3.7","4.2","4.7","5.3","6","6.9","7.6","","",
"Cameroon","CMR","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1.1","1.2","1.3","1.4","1.5","1.7","1.8","2","2.1","2.2","2.4","2.6","2.8","2.9","3.1","3.3","3.6","3.9","4.1","4.3","4.7","5","5.4","","",
"Congo, Dem. Rep.","COD","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.1","0","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.4","0.4","0.5","0.5","0.6","0.6","0.7","0.8","","",
"Congo, Rep.","COG","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1.2","1.2","1.3","1.4","1.5","1.6","1.7","1.9","2.1","2.2","2.3","2.5","2.8","2.9","3.2","3.4","3.7","3.9","4","4.2","4.5","4.8","4.9","","",
"Colombia","COL","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3","34.7","35.6","36.3","36.9","37.8","38.5","39.5","40.4","41.5","43.4","45.3","47.1","49.2","50.95","53.4","55.1","57","58.5","60","60.9","62","62.6","63.6","","",
"Comoros","COM","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.3","0.4","0.4","0.5","0.6","0.8","0.8","1","1.1","1.4","1.6","1.8","2","2.3","2.5","2.9","3.2","3.7","4","4.4","5","5.4","5.9","","",
"Cabo Verde","CPV","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.8","29.3","29.1","29.1","29.2","29.2","29.7","30.3","30.9","31.9","33","34","35.5","37.1","38.4","40.3","42.2","44.2","46.3","48.6","51","53.1","55.3","58","","",
"Costa Rica","CRI","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2","77.6","78","78.1","78.4","78.6","78.8","79.1","79.5","79.7","80.3","80.9","81.7","82.6","83.4","84.1","85.1","85.9","86.8","87.5","88.4","89.1","89.7","90.3","","",
"Caribbean small states","CSS","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.0204671183855","93.2712684542728","93.4439441417347","93.6409655189893","93.8761092816528","93.9863854083597","94.1414149660814","94.329715471362","94.4362744009861","94.5556825989121","94.687004801589","94.8270621351365","94.9028752390182","95.017013950565","95.085201534709","95.1655196104288","95.2118185978781","95.2767760086609","95.3064521144561","95.3221246687458","95.3447324153866","95.3665423931683","95.344164113247","95.2671796720402","","",
"Cuba","CUB","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4","33.5","39.9","46.6","53.1","59","64.1","69","72.45","75","78.2","79.8","81.7","83.5","84.7","86.15","86.9","88.1","88.6","89.4","89.7","90.3","90.7","90.9","","",
"Curacao","CUW","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Czechia","CZE","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Germany","DEU","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Djibouti","DJI","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.3","1.2","1.2","1.1","1","1","0.9","0.9","0.8","0.7","0.7","0.6","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.2","0.2","0.2","0.1","","",
"Dominica","DMA","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.1","58.1","59.7","61.6","62.9","64.3","66.2","68.3","69.2","71.3","72.3","74.25","75.8","76.5","77.5","77.8","78.7","79.6","79.3","79.7","78.8","79","78.9","79.2","","",
"Denmark","DNK","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Dominican Republic","DOM","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1","68.1","69","69.7","70.1","70.1","69.9","69.3","68.8","68.5","68.4","68.6","68.8","69.5","70.5","71.5","72.3","73.6","74.75","75.7","76.7","77.6","78.7","79.6","","",
